, readtime ,kwh,kwh_usage,rkwh,rkwh usage,kvarh,kvarh usage,kvah,kvah usage,volts a,volts b,volts c,current angle deg a,current angle deg b,current angle deg c,pkw,pkvar,pkva,amps a,amps b,amps c,temperature
1,6/1/2026,54572.3715kWh,1.04kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
2,6/1/2026 1:00:00 AM,54573.41kWh,1.0385kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
3,6/1/2026 2:00:00 AM,54574.2357kWh,0.8257kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
4,6/1/2026 3:00:00 AM,54575.0473kWh,0.8116kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
5,6/1/2026 4:00:00 AM,54575.8256kWh,0.7783kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
6,6/1/2026 5:00:00 AM,54576.5839kWh,0.7583kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
7,6/1/2026 6:00:00 AM,54577.2005kWh,0.6166kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
8,6/1/2026 7:00:00 AM,54577.967kWh,0.7665kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
9,6/1/2026 8:00:00 AM,54578.322kWh,0.355kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
10,6/1/2026 9:00:00 AM,54578.6816kWh,0.3596kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
11,6/1/2026 10:00:00 AM,54579.0285kWh,0.3469kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
12,6/1/2026 11:00:00 AM,54579.5089kWh,0.4804kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
13,6/1/2026 12:00:00 PM,54580.4652kWh,0.9563kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
14,6/1/2026 1:00:00 PM,54581.0034kWh,0.5382kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
15,6/1/2026 2:00:00 PM,54581.9402kWh,0.9368kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
16,6/1/2026 3:00:00 PM,54584.0948kWh,2.1546kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
17,6/1/2026 4:00:00 PM,54586.6713kWh,2.5765kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
18,6/1/2026 5:00:00 PM,54589.3297kWh,2.6584kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
19,6/1/2026 6:00:00 PM,54591.7029kWh,2.3732kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
20,6/1/2026 7:00:00 PM,54593.8396kWh,2.1367kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
21,6/1/2026 8:00:00 PM,54595.256kWh,1.4164kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
22,6/1/2026 9:00:00 PM,54598.4854kWh,3.2294kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
23,6/1/2026 10:00:00 PM,54602.111kWh,3.6256kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
24,6/1/2026 11:00:00 PM,54604.665kWh,2.554kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
25,6/2/2026,54605.5425kWh,0.8775kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
26,6/2/2026 1:00:00 AM,54606.5542kWh,1.0117kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
27,6/2/2026 2:00:00 AM,54607.2323kWh,0.6781kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
28,6/2/2026 3:00:00 AM,54607.9005kWh,0.6682kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
29,6/2/2026 4:00:00 AM,54608.6211kWh,0.7206kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
30,6/2/2026 5:00:00 AM,54609.38kWh,0.7589kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
31,6/2/2026 6:00:00 AM,54609.7238kWh,0.3438kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
32,6/2/2026 7:00:00 AM,54610.0519kWh,0.3281kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
33,6/2/2026 8:00:00 AM,54610.3806kWh,0.3287kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,5.459kW,-,-,-,-,-,-
