, readtime ,kwh,kwh_usage,rkwh,rkwh usage,kvarh,kvarh usage,kvah,kvah usage,volts a,volts b,volts c,current angle deg a,current angle deg b,current angle deg c,pkw,pkvar,pkva,amps a,amps b,amps c,temperature
1,7/1/2026,55510.5934kWh,34.4687kWh,0kWh,0kWh,-,-,-,-,246.6v,-,-,-,-,-,7.958kW,-,-,-,-,-,34
2,7/2/2026,55547.7138kWh,37.1204kWh,0kWh,0kWh,-,-,-,-,246.4v,-,-,-,-,-,7.958kW,-,-,-,-,-,34
3,7/3/2026,55588.9053kWh,41.1915kWh,0kWh,0kWh,-,-,-,-,246.5v,-,-,-,-,-,7.958kW,-,-,-,-,-,34
4,7/4/2026,55626.8098kWh,37.9045kWh,0kWh,0kWh,-,-,-,-,246.2v,-,-,-,-,-,7.958kW,-,-,-,-,-,35
5,7/5/2026,55656.867kWh,30.0572kWh,0kWh,0kWh,-,-,-,-,246.8v,-,-,-,-,-,7.958kW,-,-,-,-,-,26
6,7/6/2026,55687.8419kWh,30.9749kWh,0kWh,0kWh,-,-,-,-,246.7v,-,-,-,-,-,7.958kW,-,-,-,-,-,31
7,7/7/2026,55717.3178kWh,29.4759kWh,0kWh,0kWh,-,-,-,-,246.8v,-,-,-,-,-,7.958kW,-,-,-,-,-,32
8,7/8/2026,55746.1597kWh,28.8419kWh,0kWh,0kWh,-,-,-,-,246.5v,-,-,-,-,-,7.958kW,-,-,-,-,-,33
9,7/9/2026,55775.8153kWh,29.6556kWh,0kWh,0kWh,-,-,-,-,246.4v,-,-,-,-,-,7.958kW,-,-,-,-,-,34
10,7/10/2026,55813.945kWh,38.1297kWh,0kWh,0kWh,-,-,-,-,246.2v,-,-,-,-,-,7.958kW,-,-,-,-,-,32
11,7/11/2026,55851.7805kWh,37.8355kWh,0kWh,0kWh,-,-,-,-,246.3v,-,-,-,-,-,7.958kW,-,-,-,-,-,32
12,7/12/2026,55890.5769kWh,38.7964kWh,0kWh,0kWh,-,-,-,-,246.4v,-,-,-,-,-,7.958kW,-,-,-,-,-,32
13,7/13/2026,55919.4881kWh,28.9112kWh,0kWh,0kWh,-,-,-,-,246.5v,-,-,-,-,-,7.958kW,-,-,-,-,-,32
14,7/14/2026,55952.8857kWh,33.3976kWh,0kWh,0kWh,-,-,-,-,246.6v,-,-,-,-,-,7.958kW,-,-,-,-,-,32
15,7/15/2026,55984.616kWh,31.7303kWh,0kWh,0kWh,-,-,-,-,246.3v,-,-,-,-,-,7.958kW,-,-,-,-,-,32
16,7/16/2026,56020.2209kWh,35.6049kWh,0kWh,0kWh,-,-,-,-,246.5v,-,-,-,-,-,7.958kW,-,-,-,-,-,33
17,7/17/2026,56050.8579kWh,30.637kWh,0kWh,0kWh,-,-,-,-,246.7v,-,-,-,-,-,7.958kW,-,-,-,-,-,31
18,7/18/2026,56077.4397kWh,26.5818kWh,0kWh,0kWh,-,-,-,-,246.5v,-,-,-,-,-,7.958kW,-,-,-,-,-,31
19,7/19/2026,56119.804kWh,42.3643kWh,0kWh,0kWh,-,-,-,-,245.9v,-,-,-,-,-,7.958kW,-,-,-,-,-,34
20,7/20/2026,56155.0867kWh,35.2827kWh,0kWh,0kWh,-,-,-,-,246.3v,-,-,-,-,-,3.289kW,-,-,-,-,-,34
21,7/21/2026,56193.1015kWh,38.0148kWh,0kWh,0kWh,-,-,-,-,245.9v,-,-,-,-,-,3.374kW,-,-,-,-,-,36
22,7/22/2026,56227.4627kWh,34.3612kWh,0kWh,0kWh,-,-,-,-,246.3v,-,-,-,-,-,4.361kW,-,-,-,-,-,34
23,7/23/2026,56263.7715kWh,36.3088kWh,0kWh,0kWh,-,-,-,-,246.6v,-,-,-,-,-,5.264kW,-,-,-,-,-,30
24,7/24/2026,56296.1102kWh,32.3387kWh,0kWh,0kWh,-,-,-,-,247.1v,-,-,-,-,-,5.264kW,-,-,-,-,-,27
25,7/25/2026,56327.3356kWh,31.2254kWh,0kWh,0kWh,-,-,-,-,246.9v,-,-,-,-,-,5.264kW,-,-,-,-,-,26
26,7/26/2026,56375.2318kWh,47.8962kWh,0kWh,0kWh,-,-,-,-,246.2v,-,-,-,-,-,5.264kW,-,-,-,-,-,34
27,7/27/2026,56415.6172kWh,40.3854kWh,0kWh,0kWh,-,-,-,-,246v,-,-,-,-,-,6.581kW,-,-,-,-,-,37
28,7/28/2026,56465.872kWh,50.2548kWh,0kWh,0kWh,-,-,-,-,246.1v,-,-,-,-,-,6.581kW,-,-,-,-,-,37
29,7/29/2026,56503.1088kWh,37.2368kWh,0kWh,0kWh,-,-,-,-,246v,-,-,-,-,-,6.581kW,-,-,-,-,-,33
30,7/30/2026,56532.2497kWh,29.1409kWh,0kWh,0kWh,-,-,-,-,246.3v,-,-,-,-,-,6.581kW,-,-,-,-,-,32
31,7/31/2026,56561.7234kWh,29.4737kWh,0kWh,0kWh,-,-,-,-,246.8v,-,-,-,-,-,6.581kW,-,-,-,-,-,31
