, readtime ,kwh,kwh_usage,rkwh,rkwh usage,kvarh,kvarh usage,kvah,kvah usage,volts a,volts b,volts c,current angle deg a,current angle deg b,current angle deg c,pkw,pkvar,pkva,amps a,amps b,amps c,temperature
1,7/1/2026,55510.5934kWh,1.1647kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,7.958kW,-,-,-,-,-,-
2,7/1/2026 1:00:00 AM,55511.9348kWh,1.3414kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,7.958kW,-,-,-,-,-,-
3,7/1/2026 2:00:00 AM,55513.0301kWh,1.0953kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,7.958kW,-,-,-,-,-,-
4,7/1/2026 3:00:00 AM,55513.9545kWh,0.9244kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,7.958kW,-,-,-,-,-,-
5,7/1/2026 4:00:00 AM,55514.6392kWh,0.6847kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,7.958kW,-,-,-,-,-,-
6,7/1/2026 5:00:00 AM,55515.4705kWh,0.8313kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,7.958kW,-,-,-,-,-,-
7,7/1/2026 6:00:00 AM,55516.5531kWh,1.0826kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,7.958kW,-,-,-,-,-,-
8,7/1/2026 7:00:00 AM,55516.9043kWh,0.3512kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,7.958kW,-,-,-,-,-,-
9,7/1/2026 8:00:00 AM,55517.3262kWh,0.4219kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,7.958kW,-,-,-,-,-,-
10,7/1/2026 9:00:00 AM,55517.7246kWh,0.3984kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,7.958kW,-,-,-,-,-,-
11,7/1/2026 10:00:00 AM,55518.8497kWh,1.1251kWh,0kWh,0kWh,-,-,-,-,-,-,-,-,-,-,7.958kW,-,-,-,-,-,-
